program,sender_niche,receiver_niche,flow
spp1_interface,0,1,0.0675039067864418
spp1_interface,0,2,0.06796763092279434
spp1_interface,0,3,0.06721948087215424
spp1_interface,0,4,0.06657567620277405
spp1_interface,0,5,0.06694076210260391
spp1_interface,0,6,0.060213543474674225
spp1_interface,0,7,0.06766504049301147
spp1_interface,1,0,0.06651762872934341
spp1_interface,1,1,0.06794652342796326
spp1_interface,1,2,0.06846674531698227
spp1_interface,1,3,0.0677437111735344
spp1_interface,1,4,0.06698521971702576
spp1_interface,1,5,0.0674700140953064
spp1_interface,1,6,0.06055913120508194
spp1_interface,1,7,0.06816358119249344
spp1_interface,2,0,0.06534154713153839
spp1_interface,2,1,0.06679239869117737
spp1_interface,2,2,0.06739242374897003
spp1_interface,2,3,0.0667354166507721
spp1_interface,2,4,0.0658048689365387
spp1_interface,2,5,0.06647518277168274
spp1_interface,2,6,0.059454672038555145
spp1_interface,2,7,0.06709672510623932
spp1_interface,3,0,0.06365576386451721
spp1_interface,3,1,0.06509533524513245
spp1_interface,3,2,0.0657310038805008
spp1_interface,3,3,0.06512277573347092
spp1_interface,3,4,0.06410831958055496
spp1_interface,3,5,0.0648735761642456
spp1_interface,3,6,0.057897135615348816
spp1_interface,3,7,0.06544537842273712
spp1_interface,4,0,0.06650181859731674
spp1_interface,4,1,0.06790472567081451
spp1_interface,4,2,0.0683789849281311
spp1_interface,4,3,0.06762907654047012
spp1_interface,4,4,0.06696680933237076
spp1_interface,4,5,0.06735067069530487
spp1_interface,4,6,0.06056477501988411
spp1_interface,4,7,0.0680745467543602
spp1_interface,5,0,0.06314173340797424
spp1_interface,5,1,0.06457517296075821
spp1_interface,5,2,0.06521377712488174
spp1_interface,5,3,0.06461428105831146
spp1_interface,5,4,0.063591867685318
spp1_interface,5,5,0.06436880677938461
spp1_interface,5,6,0.05742759257555008
spp1_interface,5,7,0.06493030488491058
spp1_interface,6,0,0.06292134523391724
spp1_interface,6,1,0.06416032463312149
spp1_interface,6,2,0.06446629017591476
spp1_interface,6,3,0.06368093937635422
spp1_interface,6,4,0.06335219740867615
spp1_interface,6,5,0.06339827179908752
spp1_interface,6,6,0.057396769523620605
spp1_interface,6,7,0.06417039781808853
spp1_interface,7,0,0.06477133929729462
spp1_interface,7,1,0.0662156194448471
spp1_interface,7,2,0.06681980192661285
spp1_interface,7,3,0.06617306172847748
spp1_interface,7,4,0.06523140519857407
spp1_interface,7,5,0.0659170150756836
spp1_interface,7,6,0.05892903730273247
spp1_interface,7,7,0.06652793288230896
cxcl_chemotaxis,0,0,0.054024845361709595
cxcl_chemotaxis,0,1,0.054537639021873474
cxcl_chemotaxis,0,2,0.05363670736551285
cxcl_chemotaxis,0,3,0.052177347242832184
cxcl_chemotaxis,0,4,0.05454652011394501
cxcl_chemotaxis,0,5,0.051767416298389435
cxcl_chemotaxis,0,6,0.05064475163817406
cxcl_chemotaxis,0,7,0.05315099656581879
cxcl_chemotaxis,1,0,0.05443493276834488
cxcl_chemotaxis,1,1,0.054965790361166
cxcl_chemotaxis,1,2,0.05408031493425369
cxcl_chemotaxis,1,3,0.0526232086122036
cxcl_chemotaxis,1,4,0.05496247857809067
cxcl_chemotaxis,1,5,0.05221196264028549
cxcl_chemotaxis,1,6,0.0510222353041172
cxcl_chemotaxis,1,7,0.053590402007102966
cxcl_chemotaxis,2,0,0.053165145218372345
cxcl_chemotaxis,2,1,0.05370883643627167
cxcl_chemotaxis,2,2,0.05289652571082115
cxcl_chemotaxis,2,3,0.05150749534368515
cxcl_chemotaxis,2,4,0.05367777869105339
cxcl_chemotaxis,2,5,0.05110715329647064
cxcl_chemotaxis,2,6,0.049790676683187485
cxcl_chemotaxis,2,7,0.05241844803094864
cxcl_chemotaxis,3,0,0.05153698846697807
cxcl_chemotaxis,3,1,0.052079327404499054
cxcl_chemotaxis,3,2,0.051325224339962006
cxcl_chemotaxis,3,3,0.050001271069049835
cxcl_chemotaxis,3,4,0.05203188955783844
cxcl_chemotaxis,3,5,0.04961343854665756
cxcl_chemotaxis,3,6,0.04823589697480202
cxcl_chemotaxis,3,7,0.050862062722444534
cxcl_chemotaxis,4,0,0.05464250594377518
cxcl_chemotaxis,4,1,0.055161237716674805
cxcl_chemotaxis,4,2,0.05424390360713005
cxcl_chemotaxis,4,3,0.052762944251298904
cxcl_chemotaxis,4,4,0.05517351254820824
cxcl_chemotaxis,4,5,0.05234867334365845
cxcl_chemotaxis,4,6,0.05123987793922424
cxcl_chemotaxis,4,7,0.053751423954963684
cxcl_chemotaxis,5,0,0.05107922852039337
cxcl_chemotaxis,5,1,0.05162227898836136
cxcl_chemotaxis,5,2,0.0508846640586853
cxcl_chemotaxis,5,3,0.04957832768559456
cxcl_chemotaxis,5,4,0.05156925320625305
cxcl_chemotaxis,5,5,0.04919624701142311
cxcl_chemotaxis,5,6,0.047800496220588684
cxcl_chemotaxis,5,7,0.05042693763971329
cxcl_chemotaxis,6,0,0.05084666982293129
cxcl_chemotaxis,6,1,0.05131889879703522
cxcl_chemotaxis,6,2,0.05045226961374283
cxcl_chemotaxis,6,3,0.04906640201807022
cxcl_chemotaxis,6,4,0.051337599754333496
cxcl_chemotaxis,6,5,0.04868336766958237
cxcl_chemotaxis,6,6,0.04769422858953476
cxcl_chemotaxis,6,7,0.04999928921461105
cxcl_chemotaxis,7,0,0.052717581391334534
cxcl_chemotaxis,7,1,0.053258031606674194
cxcl_chemotaxis,7,2,0.0524534210562706
cxcl_chemotaxis,7,3,0.05107688903808594
cxcl_chemotaxis,7,4,0.05322691798210144
cxcl_chemotaxis,7,5,0.050679706037044525
cxcl_chemotaxis,7,6,0.04936312139034271
cxcl_chemotaxis,7,7,0.05197947472333908
